,Title,Company,Location,Post_Date,URL,Current Status,Source,Description
481,Executive Producer - Originals,Dow Jones,"New York, NY 10176 (Murray Hill area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0fb2dd3321daf601,NaN,indeed,NaN
482,Program Director,International Center for Journalists (ICFJ),"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=6891087a142b44d3,NaN,indeed,NaN
483,Senior Customer Experience Specialist,ChefSteps,"Seattle, WA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=97c31435a2b44c74,NaN,indeed,NaN
484,"Vice President, Health Media Relations",Edelman,"San Francisco, CA",2018-11-06 17:38:59,https://www.indeed.com/viewjob?jk=cd46ae48a837bb56,NaN,indeed,NaN
485,2019 Reuters Journalism Internship,Thomson Reuters,"New York, NY 10036",2018-10-31 17:38:59,https://www.indeed.com/viewjob?jk=f440249a7d0e9fea,NaN,indeed,NaN
486,Public Relations Associate,ValuePenguin,"New York, NY",2018-10-17 17:39:01,https://www.indeed.com/viewjob?jk=f6967fe884ea22da,NaN,indeed,1.0
487,Tenured Associate/Full Professor,Morgan State University,"Baltimore, MD",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=3bee5815f8eca7fa,NaN,indeed,NaN
488,Public Relations Representative,Raytheon,"Dulles, VA",2018-10-24 17:39:01,https://www.indeed.com/viewjob?jk=48bdd25e6d936c99,NaN,indeed,NaN
489,"Manager, Originals Series Publicity",Netflix,"Los Angeles, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=32aef4ec54b2d4c9,NaN,indeed,NaN
490,Video Editor,Circa,"Culver City, CA",2018-10-27 17:39:01,https://www.indeed.com/viewjob?jk=abd7738e50c36f63,NaN,indeed,NaN
491,"Corporate Communications Specialist, Google Cloud",Google,"Sunnyvale, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=1b4b8736f0c42810,NaN,indeed,NaN
492,Javascript Fullstack Developer,ProtonMail,"San Francisco, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=95babcf6029284f7,NaN,indeed,1.0
493,Producer - Real Time,Al Jazeera Media Network,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f95e472c21567c28,NaN,indeed,NaN
494,KERO MMJ/Weekend Anchor,The E.W. Scripps Company,"Bakersfield, CA 93301",2018-11-10 17:39:02,https://www.indeed.com/viewjob?jk=c55e52e6442789d5,NaN,indeed,NaN
495,Director of Communications,Neurotrack,"Redwood City, CA 94061",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=df41a4ba365f1940,NaN,indeed,NaN
496,"Communications Manager, Consumer Products, YouTube",Google,"San Bruno, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=52af8aa31d013b1e,NaN,indeed,NaN
497,Media Relations Associate,SmithBucklin,"Chicago, IL 60611 (Near North Side area)",2018-10-31 17:39:02,https://www.indeed.com/viewjob?jk=9539a931e5bae865,NaN,indeed,NaN
498,PR Manager,Wunderman,"New York, NY 10017 (Midtown area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=cf3f2526ac07d0ec,NaN,indeed,4.0
499,"Executive Producer, Weekend All Things Considered",NPR,"Washington, DC",2018-11-08 17:39:02,https://www.indeed.com/viewjob?jk=1f910f5b901b660a,NaN,indeed,NaN
500,State Political Reporter,Nexstar Broadcasting,"Topeka, KS",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0a50140d3ba5664c,NaN,indeed,NaN
501,Multimedia Producer - Illinois Public Media (104014),University of Illinois,"Urbana-Champaign, IL",2018-11-03 17:39:04,https://www.indeed.com/viewjob?jk=57b25b9206013e2b,NaN,indeed,NaN
502,Digital Marketing Coordinator,Green Tech Media,"Boston, MA",2018-10-25 17:39:04,https://www.indeed.com/viewjob?jk=c06bd92d041dca6c,NaN,indeed,NaN
503,Communications Manager,AlphaSense,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ef61e6f4b5d6fe54,NaN,indeed,NaN
504,"Consultant, Consumer Media Relations",APCO Worldwide,"New York, NY",2018-10-19 17:39:04,https://www.indeed.com/viewjob?jk=21304a9cf5637bcb,NaN,indeed,NaN
505,Communications Director,Columbia University,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=cf690bc82f7b0c0b,NaN,indeed,NaN
506,Digital Manager,Nexstar Broadcasting,"Columbus, OH",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a915c547e4e7359b,NaN,indeed,NaN
507,Media Relations Officer - IBCM & Asset Mgt.,Credit Suisse,"New York, NY 10022 (Midtown area)",2018-10-19 17:39:04,https://www.indeed.com/viewjob?jk=350bf3082efd7876,NaN,indeed,NaN
508,Multi-Media Reporter - Telemundo Charlotte,Cox Media Group,"Charlotte, NC 28202 (Downtown Charlotte area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c451a74a8df1b795,NaN,indeed,NaN
509,"Account Executive, Public Affairs & Advocacy",Edelman,"New York, NY",2018-10-19 17:39:06,https://www.indeed.com/viewjob?jk=78188f476066b28b,NaN,indeed,NaN
510,Marketing Copywriter,American Jewish Committee,"New York, NY 10022 (Midtown area)",2018-10-15 17:39:06,https://www.indeed.com/viewjob?jk=4f3443ee33f2cc0a,NaN,indeed,NaN
511,"Foreign Policy Intern – Spring 2019 (Washington, D.C.)",Human Rights First,"Washington, DC 20005 (Logan Circle area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=80631ea2e03a0757,NaN,indeed,NaN
512,"Director, Career Development",The University of Chicago,"Chicago, IL",2018-10-31 17:39:06,https://www.indeed.com/viewjob?jk=f66feacb3c44b108,NaN,indeed,2.0
513,Vice President - Social Strategy,Edelman,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=fb5302f5bc049326,NaN,indeed,1.0
514,KREATIVE/N GESCHICHTENENTDECKER/IN,RADIO 7 Hörfunk GmbH + Co. KG,Indiana,an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=64554de1faa74571,NaN,indeed,NaN
515,Content and Media Manager,Valley Hope,"Overland Park, KS",2018-11-13 17:39:08,https://www.indeed.com/viewjob?jk=721c6fa25500381b,NaN,indeed,1.0
516,Media Relations Specialist,The Catholic University of America,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=86beb051364a6eb8,NaN,indeed,NaN
517,"Web Engineer, Various Teams",The New York Times,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=5d0bca6c5a2b2975,NaN,indeed,NaN
518,"Global Communications Manager, Marketing Partnerships",Netflix,"Los Angeles, CA",2018-10-31 17:39:08,https://www.indeed.com/viewjob?jk=e35ca652d9589914,NaN,indeed,NaN
519,Contract Senior Content Editor,System1,"Bellevue, WA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=595d1779f93217cb,NaN,indeed,1.0
520,"Intern, Social Media",AccuWeather,"State College, PA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=dc764dc7ff136e2e,NaN,indeed,1.0
521,"Sr. Analyst, Consumer Surveys and Media",LendingTree,"New York, NY 10010 (Gramercy area)",2018-11-06 17:39:08,https://www.indeed.com/viewjob?jk=9f16d2ac52221dca,NaN,indeed,3.0
